time,wx,wy,wz
4.351,0.17,-0.4,-0.96
4.356,0.19,-0.37,-0.95
4.361,0.2,-0.32,-0.94
4.366,0.23,-0.3,-0.92
4.372,0.24,-0.3,-0.91
4.383,0.26,-0.31,-0.9
4.384,0.24,-0.27,-0.89
4.386,0.19,-0.27,-0.89
4.408,0.19,-0.2,-0.87
4.409,0.15,-0.16,-0.85
4.41,0.11,-0.14,-0.85
4.41,0.09,-0.12,-0.84
4.411,0.11,-0.08,-0.81
4.417,0.13,-0.04,-0.79
4.422,0.16,-0.03,-0.77
4.426,0.17,-0.04,-0.76
4.432,0.16,-0.03,-0.74
4.436,0.13,0.01,-0.73
4.442,0.09,0.04,-0.72
4.447,0.05,0.06,-0.71
4.451,0.01,0.06,-0.68
4.457,0,0.08,-0.68
4.462,0,0.12,-0.65
4.467,0,0.17,-0.64
4.473,0.04,0.22,-0.62
4.477,0.06,0.24,-0.59
4.482,0.06,0.25,-0.58
4.487,0.05,0.28,-0.56
4.492,0.01,0.31,-0.53
4.497,-0.03,0.32,-0.51
4.502,-0.06,0.32,-0.49
4.512,-0.09,0.34,-0.47
4.514,-0.1,0.37,-0.45
4.519,-0.09,0.37,-0.43
4.541,-0.09,0.41,-0.43
4.542,-0.09,0.43,-0.41
4.543,-0.09,0.46,-0.38
4.543,-0.09,0.5,-0.36
4.544,-0.1,0.53,-0.34
4.547,-0.12,0.55,-0.31
4.553,-0.15,0.58,-0.3
4.557,-0.18,0.58,-0.28
4.562,-0.19,0.6,-0.25
4.567,-0.2,0.63,-0.23
4.573,-0.21,0.64,-0.2
4.577,-0.21,0.67,-0.17
4.583,-0.22,0.69,-0.14
4.588,-0.23,0.69,-0.14
4.593,-0.23,0.71,-0.12
4.598,-0.24,0.73,-0.09
4.603,-0.25,0.76,-0.06
4.608,-0.26,0.78,-0.04
4.613,-0.27,0.8,-0.02
4.619,-0.28,0.82,0.01
4.623,-0.3,0.84,0.04
4.628,-0.31,0.86,0.07
4.634,-0.32,0.88,0.09
4.638,-0.34,0.9,0.11
4.643,-0.35,0.93,0.13
4.648,-0.36,0.95,0.15
4.653,-0.37,0.95,0.15
4.658,-0.37,0.97,0.19
4.663,-0.39,0.99,0.21
4.674,-0.4,1.01,0.24
4.676,-0.41,1.07,0.26
4.68,-0.39,1.1,0.3
4.699,-0.34,1.07,0.34
4.7,-0.27,1.04,0.35
4.701,-0.21,1.05,0.38
4.701,-0.16,1.13,0.42
4.703,-0.18,1.18,0.43
4.709,-0.27,1.14,0.42
4.713,-0.4,1.09,0.44
4.719,-0.52,1.09,0.44
4.724,-0.52,1.09,0.47
4.728,-0.6,1.12,0.52
4.734,-0.61,1.12,0.55
4.739,-0.56,1.11,0.56
4.744,-0.49,1.14,0.58
4.749,-0.42,1.16,0.61
4.754,-0.36,1.18,0.64
4.759,-0.34,1.21,0.67
4.764,-0.37,1.24,0.68
4.769,-0.4,1.29,0.71
4.775,-0.45,1.31,0.72
4.78,-0.5,1.28,0.73
4.784,-0.51,1.28,0.76
4.789,-0.5,1.26,0.76
4.794,-0.5,1.26,0.8
4.805,-0.47,1.27,0.82
4.809,-0.42,1.26,0.84
4.81,-0.4,1.23,0.85
4.825,-0.39,1.22,0.88
4.826,-0.4,1.26,0.9
4.826,-0.44,1.27,0.92
4.834,-0.47,1.29,0.94
4.835,-0.49,1.31,0.95
4.839,-0.48,1.33,0.98
4.845,-0.46,1.35,0.99
4.849,-0.42,1.35,1
4.854,-0.36,1.36,1
4.859,-0.36,1.34,1.02
4.865,-0.34,1.33,1.05
4.87,-0.34,1.32,1.06
4.875,-0.37,1.31,1.07
4.88,-0.39,1.29,1.07
4.885,-0.41,1.28,1.08
4.89,-0.44,1.27,1.1
4.895,-0.43,1.28,1.12
4.9,-0.42,1.28,1.12
4.905,-0.39,1.3,1.14
4.911,-0.35,1.32,1.15
4.915,-0.31,1.33,1.16
4.92,-0.28,1.33,1.16
4.927,-0.28,1.32,1.16
4.93,-0.28,1.31,1.17
4.935,-0.29,1.3,1.18
4.94,-0.3,1.29,1.19
4.95,-0.31,1.27,1.19
4.951,-0.32,1.26,1.19
4.956,-0.33,1.25,1.2
4.974,-0.32,1.25,1.22
4.975,-0.29,1.24,1.22
4.975,-0.26,1.22,1.22
4.976,-0.24,1.21,1.22
4.98,-0.22,1.21,1.21
4.986,-0.22,1.21,1.21
4.99,-0.22,1.21,1.21
4.995,-0.23,1.2,1.22
5,-0.22,1.19,1.22
5.006,-0.22,1.21,1.18
5.011,-0.2,1.17,1.15
5.015,-0.18,1.1,1.22
5.02,-0.18,1.16,1.27
5.027,-0.17,1.19,1.22
5.031,-0.18,1.14,1.17
5.036,-0.18,1.09,1.15
