time,wx,wy,wz
4.242,-0.25,0.79,-0.05
4.247,-0.25,0.82,-0.02
4.255,-0.27,0.84,0.00
4.259,-0.28,0.86,0.02
4.263,-0.31,0.87,0.05
4.274,-0.33,0.90,0.07
4.275,-0.34,0.92,0.10
4.278,-0.36,0.95,0.13
4.283,-0.37,0.97,0.16
4.287,-0.36,0.99,0.18
4.293,-0.36,1.02,0.20
4.299,-0.36,1.02,0.23
4.303,-0.36,1.07,0.23
4.307,-0.32,1.09,0.26
4.312,-0.27,1.06,0.30
4.318,-0.21,1.05,0.32
4.322,-0.16,1.08,0.35
4.328,-0.13,1.16,0.38
4.333,-0.18,1.19,0.39
4.338,-0.31,1.13,0.39
4.343,-0.44,1.09,0.42
4.348,-0.52,1.11,0.47
4.353,-0.56,1.14,0.52
4.358,-0.53,1.14,0.54
4.365,-0.47,1.14,0.55
4.368,-0.42,1.11,0.55
4.373,-0.42,1.14,0.56
4.380,-0.35,1.17,0.59
4.383,-0.32,1.20,0.63
4.388,-0.31,1.25,0.66
4.394,-0.33,1.27,0.66
4.401,-0.36,1.32,0.69
4.405,-0.40,1.34,0.70
4.408,-0.44,1.32,0.71
4.421,-0.44,1.30,0.76
4.422,-0.42,1.29,0.79
4.423,-0.39,1.28,0.80
4.430,-0.36,1.26,0.83
4.434,-0.34,1.26,0.83
4.439,-0.34,1.25,0.85
4.445,-0.34,1.25,0.86
4.449,-0.36,1.28,0.88
4.454,-0.40,1.31,0.90
4.460,-0.42,1.33,0.93
4.463,-0.41,1.35,0.94
4.468,-0.39,1.38,0.95
4.473,-0.36,1.40,0.97
4.479,-0.32,1.39,0.99
4.484,-0.29,1.37,1.01
4.488,-0.28,1.35,1.03
4.494,-0.28,1.34,1.04
4.500,-0.30,1.34,1.04
4.504,-0.30,1.32,1.06
4.513,-0.33,1.31,1.06
4.516,-0.35,1.31,1.08
4.519,-0.36,1.32,1.11
4.531,-0.35,1.32,1.12
4.533,-0.32,1.32,1.12
4.534,-0.28,1.35,1.13
4.539,-0.25,1.37,1.14
4.544,-0.23,1.37,1.16
