time;ax;ay;az;aT
3,665;1,6346;2,3947;-0,7108;2,985
3,669;1,6535;2,2184;-0,7723;2,873
3,683;1,7308;2,1764;-1,0272;2,964
3,685;1,7887;2,1895;-1,2031;3,073
3,694;1,7694;2,1214;-1,3011;3,054
3,698;1,79;2,07;-1,3987;3,073
3,706;1,8307;2,0158;-1,457;3,088
3,715;1,953;1,9236;-1,6109;3,18
3,723;2,0173;1,8272;-1,7439;3,233
3,731;2,0241;1,7272;-1,936;3,291
3,739;2,1301;1,7026;-2,089;3,435
3,748;2,1392;1,6363;-2,2005;3,478
3,757;2,1694;1,5269;-2,2733;3,494
3,765;2,1815;1,3957;-2,4243;3,547
3,773;2,2343;1,3212;-2,5744;3,656
3,782;2,2688;1,2444;-2,7035;3,742
3,794;2,3443;1,1454;-2,833;3,851
3,799;2,3625;1,0646;-2,9413;3,92
3,819;2,4019;1,0008;-3,0488;4,008
3,82;2,4624;0,8563;-3,1356;4,078
3,824;2,4658;0,769;-3,2799;4,175
3,832;2,4902;0,6796;-3,4418;4,302
3,84;2,4573;0,5697;-3,6209;4,413
3,849;2,4455;0,4585;-3,7195;4,475
3,857;2,4743;0,366;-3,8158;4,563
3,865;2,4847;0,3122;-4,0271;4,742
3,874;2,4766;0,2188;-4,0201;4,727
3,883;2,4501;0,0854;-4,1673;4,835
3,891;2,4249;-0,0684;-4,2337;4,879
3,9;2,3811;-0,1441;-4,2974;4,915
3,908;2,4166;-0,2381;-4,3779;5,006
3,917;2,3749;-0,3124;-4,5152;5,111
3,925;2,3737;-0,4844;-4,4748;5,089
3,936;2,2951;-0,5566;-4,589;5,161
3,942;2,2176;-0,7079;-4,6617;5,211
3,955;2,2191;-0,839;-4,8292;5,38
3,958;2,182;-0,8318;-4,9157;5,442
3,966;2,2243;-0,9219;-4,9814;5,533
3,975;2,1101;-1,0293;-4,9269;5,458
3,983;2,0751;-1,1554;-4,9098;5,454
3,992;1,9228;-1,2995;-4,9881;5,502
4;1,8665;-1,3682;-5,101;5,601
4,008;1,8677;-1,3957;-5,0542;5,566
4,017;1,8872;-1,4603;-5,0436;5,58
4,025;1,6931;-1,5625;-5,0695;5,568
4,034;1,6169;-1,6238;-5,1118;5,602
4,043;1,5407;-1,722;-5,0734;5,575
4,054;1,4259;-1,8178;-5,0133;5,52
4,06;1,331;-1,8138;-4,9326;5,421
4,084;1,2361;-1,9045;-5,1597;5,637
4,085;1,2571;-1,9535;-5,1293;5,631
4,086;1,2571;-1,9999;-5,2708;5,776
4,094;1,2317;-2,0673;-5,1404;5,676
4,101;1,0683;-2,1703;-4,8908;5,456
4,11;1,0607;-2,2708;-4,7373;5,359
4,118;1,15;-2,29;-4,7389;5,387
4,127;1,1797;-2,348;-4,7575;5,435
4,134;0,9336;-2,4458;-5,0256;5,667
4,143;0,8611;-2,4831;-5,189;5,817
4,151;0,9237;-2,5175;-5,2899;5,931
4,159;0,8475;-2,5295;-5,0944;5,751
4,168;0,6524;-2,6179;-4,8577;5,557
4,177;0,554;-2,6839;-4,7172;5,455
4,185;0,5715;-2,7276;-4,7115;5,474
4,196;0,5678;-2,7511;-4,6244;5,411
4,202;0,5429;-2,8131;-4,8471;5,63
4,216;0,4574;-2,8743;-5,0851;5,859
4,218;0,5063;-2,9117;-5,0064;5,814
4,227;0,4744;-2,9458;-4,8074;5,658
4,235;0,4797;-2,9777;-4,782;5,654
4,243;0,405;-3,0279;-4,6366;5,553
4,252;0,5038;-3,0164;-4,5461;5,479
4,26;0,5807;-3,0229;-4,6482;5,575
4,268;0,5186;-3,0865;-4,7078;5,653
4,277;0,4741;-3,1279;-4,6471;5,622
4,286;0,5059;-3,1468;-4,5056;5,519
4,294;0,4962;-3,1621;-4,46;5,49
4,302;0,4847;-3,136;-4,3919;5,418
4,311;0,4515;-3,1867;-4,3203;5,387
4,339;0,5143;-3,1762;-4,2459;5,327
4,34;0,5751;-3,1431;-4,2475;5,315
4,34;0,6336;-3,2247;-4,2066;5,338
4,344;0,6114;-3,2243;-4,1429;5,285
4,354;0,6462;-3,2016;-3,9594;5,133
4,361;0,7961;-3,1756;-4,0268;5,19
4,37;0,6106;-3,1273;-4,1873;5,262
4,378;0,7573;-3,0955;-4,131;5,217
4,386;0,7074;-3,0394;-3,8023;4,919
4,395;1,0476;-3,0561;-3,396;4,687
4,404;1,013;-3,0296;-3,319;4,607
4,411;1,0748;-3,0016;-2,9438;4,339
4,419;1,1555;-2,993;-3,0736;4,443
4,428;1,0205;-2,9438;-3,1818;4,453
4,436;1,257;-2,8705;-3,0741;4,39
4,445;1,1212;-2,8721;-2,928;4,252
4,454;1,0829;-2,8306;-2,8396;4,153
4,463;1,18;-2,8046;-2,9226;4,219
4,477;1,2762;-2,7561;-3,0013;4,27
4,478;1,4912;-2,6535;-3,0408;4,303
4,487;1,4718;-2,5684;-2,5948;3,936
4,495;1,5117;-2,4996;-2,1166;3,607
4,504;1,687;-2,3692;-1,7804;3,41
4,512;1,6286;-2,2753;-1,6603;3,254
4,521;1,6884;-2,1805;-1,7155;3,248
4,529;1,5935;-2,1682;-2,0054;3,356
4,537;1,8318;-2,0544;-2,0955;3,459
4,546;2,031;-1,9561;-1,8112;3,351
4,554;1,8985;-1,9141;-1,4303;3,052
4,562;1,865;-1,8292;-1,3221;2,928
4,571;1,9895;-1,7217;-1,1352;2,866
4,58;1,9391;-1,6114;-1,0664;2,737
4,59;2,0863;-1,5385;-1,0374;2,792
4,609;2,0979;-1,3651;-0,7937;2,626
4,611;2,2483;-1,2678;-0,8464;2,716
4,613;2,1262;-1,1892;-0,702;2,535
4,621;2,1041;-1,0893;-0,5937;2,443
4,629;2,4752;-0,9861;-0,5627;2,723
4,638;2,2801;-0,9014;-0,4161;2,487
4,646;2,3812;-0,8156;-0,2104;2,526
4,655;2,3276;-0,6695;0,0336;2,422
4,662;2,4329;-0,6007;0,117;2,509
4,672;2,4227;-0,4921;0,2192;2,482
4,68;2,356;-0,3446;0,36;2,408
4,688;2,3895;-0,1952;0,2258;2,408
4,697;2,2489;0,0325;0,2872;2,267
4,706;2,2285;0,1422;0,4471;2,277
4,713;2,6408;0,2309;0,6836;2,738
4,722;2,1346;0,2799;1,0373;2,39
4,731;2,1403;0,3866;1,134;2,453
4,74;1,913;0,533;1,032;2,238
4,752;2,2365;0,6801;1,1665;2,613
4,755;2,1304;0,7464;1,1214;2,521
4,764;2,0847;0,8895;1,307;2,616
4,772;2,2369;1,0321;1,5914;2,933
4,78;2,2532;1,133;1,6775;3,029
4,789;2,0943;1,2706;1,8177;3,05
4,797;1,8984;1,3286;1,723;2,888
4,806;1,9395;1,5227;1,7859;3,045
4,814;1,8639;1,5775;1,8838;3,084
4,825;1,6131;1,6881;2,0374;3,099
4,831;1,5988;1,7562;2,2101;3,244
4,84;1,6247;1,8415;2,2839;3,354
4,848;1,4944;1,9049;2,374;3,391
4,856;1,3455;1,9855;2,3647;3,368
4,864;1,3737;2,1031;2,432;3,496
4,873;1,3239;2,1601;2,5555;3,599
4,882;1,1765;2,312;2,6571;3,713
4,893;1,2058;2,3824;2,7177;3,81
